chromosome,position,cm
1,13922117,28.736923
1,13935141,28.943256
1,13947905,28.964694
1,13951736,29.070183
1,14128152,29.187876
1,14130780,29.280199
1,14170060,29.402272
1,14172505,29.491773
1,14226409,29.611517
1,14243517,29.722785
1,14390137,29.896808
1,14394291,29.991675
1,14439900,30.019813
1,14445584,30.104798
1,14507057,30.176427
1,14508693,30.243423
1,14625432,30.365384
1,14629604,30.514344
1,14720009,30.666337
1,14721426,30.753735
1,14792535,30.847426
1,14795469,30.92039
1,14876379,31.001697
1,14894578,31.249846
1,15089767,31.429886
1,15100939,31.629116
1,15150914,31.71608
1,15156736,31.871392
1,15181454,31.898608
1,15184139,32.03452
1,15211824,32.120191
1,15216378,32.196098
1,15309861,32.38515
1,15339960,32.642206
1,15371724,32.701226
1,15374483,32.835073
1,15424731,32.928268
1,15427117,33.043597
1,15567800,33.23623
1,15574322,33.46241
1,15617054,33.49404
1,15621708,33.623113
1,15685797,33.70541
1,15687814,33.788421
1,15743884,33.851143
1,15750217,33.947581
1,15798317,34.006341
1,16050521,34.044672
1,16127480,34.239769
1,16363940,34.279193
1,16396318,34.342348
1,16448622,34.58085
1,16502256,34.686879
1,16804341,34.800941
1,16821365,34.950866
1,16887185,35.033199
1,17003534,35.45293
1,17429185,35.681962
1,17432399,35.743104
1,17495311,35.790094
1,17500227,35.898441
1,17539073,35.980333
1,17541949,36.098209
1,17554853,36.228196
1,17557133,36.365908
1,17675889,36.498616
1,17679598,36.599373
1,17712649,36.677713
1,17874843,36.759984
1,17876389,36.818629
1,17908005,36.867471
1,17918600,36.983634
1,17920155,37.071717
1,17931702,37.204219
1,18042035,37.275782
1,18052042,37.368391
1,18105728,37.417852
1,18112065,37.490799
1,18180387,37.622621
1,18189098,37.756486
1,18263784,37.823647
1,18265974,37.879459
1,18322014,37.957958
1,18323910,38.048083
1,18427031,38.186259
1,18484945,38.335452
1,18490574,38.498724
1,18511260,38.591782
1,18514902,38.733781
1,18566065,38.813957
1,18578075,39.067173
1,18606653,39.102914
1,18611016,39.171675
1,18659641,39.273619
1,18664626,39.426792
1,18703538,39.454805
1,18704862,39.502806
1,18832820,39.727952
1,18869666,39.864225
1,18873615,39.960316
1,18904033,39.976315
1,18907068,40.089362
1,19030698,40.297764
1,19057778,40.611944
1,19067368,40.873268
1,19100502,40.888239
1,19176667,41.092676
1,19197849,41.555099
1,19210816,41.649591
1,19238942,41.699813
1,19244678,41.839342
1,19636041,41.989706
1,19650220,42.073537
1,19806259,42.160144
1,19819249,42.337407
1,19973920,42.396699
1,19978665,42.487814
1,20025383,42.52753
1,20030565,42.603796
1,20058237,42.665661
1,20061862,42.813243
1,20139463,42.899255
1,20141528,43.044842
1,20158604,43.140888
1,20163290,43.231873
1,20281969,43.341058
1,20303151,43.407804
1,20309565,43.490495
1,20435774,43.571535
1,20437540,43.648888
1,20464891,43.735819
1,20477682,43.90072
1,20555073,44.032047
1,20556762,44.11871
1,20605374,44.21547
1,20609308,44.34154
1,20762133,44.43595
1,20766279,44.583264
1,20883203,44.671278
1,20884941,44.725359
1,21009611,44.902614
1,21011182,45.018663
1,21041555,45.122494
1,21567495,45.184401
1,21734462,45.378631
1,21738020,45.468903
1,21821757,45.540309
1,21848962,45.633109
1,21974834,45.766337
1,22008798,45.872411
1,22141983,45.928618
1,22147077,46.038258
1,22345647,46.176454
1,22350834,46.251229
1,22477493,46.29468
1,22649994,46.570049
1,22652501,46.638642
1,22682133,46.734199
1,22735906,46.763071
1,22739168,46.9046
1,22863296,46.946065
1,22869904,47.040453
1,22891409,47.138752
1,23026293,47.269616
1,23087244,47.43305
1,23183130,47.595443
1,23189123,47.754386
1,23212740,47.843849
1,23714672,47.988704
1,23907702,48.179403
1,23926256,48.410596
1,23977871,48.504171
1,24336524,48.660871
1,24421804,48.778738
1,24425176,48.837845
1,24518643,48.964161
1,24530056,49.113182
1,24641335,49.250346
1,24663965,49.355691
1,24876383,49.514797
1,24928693,49.638421
1,25012493,49.656505
1,25017649,49.715412
1,25182422,49.735064
1,25305783,49.944554
1,25309259,50.129941
1,25422503,50.312141
1,25425629,50.390914
1,25472465,50.436965
1,25477602,50.51131
1,25499030,50.521345
1,25529362,50.742776
1,25775733,50.777797
1,25910624,51.102862
1,26002585,51.129047
1,26010611,51.198842
1,26110143,51.244022
1,26118299,51.347713
1,26479900,51.476145
1,26482556,51.521125
1,26699157,51.629825
1,26715232,51.681671
1,26718448,51.787324
1,26898956,51.878975
1,26910959,51.946287
1,27366975,52.095368
1,27395859,52.187504
1,27403974,52.307579
1,27981827,52.563157
1,27989620,52.633079
1,28169402,52.661433
1,28187374,52.710866
1,28420384,52.794961
1,28459918,52.895304
1,29180014,53.061099
1,29190390,53.174294
1,29631050,53.265324
1,29632400,53.325496
1,29707412,53.49346
1,29740661,53.711014
1,29794833,53.86431
1,30062973,54.258039
1,30160186,54.304982
1,30162821,54.437644
1,30401662,54.777064
1,30405167,54.855172
1,30578188,55.068972
1,30614367,55.262071
1,30743114,55.433759
1,30747270,55.528135
1,30792409,55.575417
1,30794300,55.690945
1,30890860,55.755259
1,30892426,55.869528
1,30987720,55.964783
1,30997926,56.10911
1,30999350,56.18811
1,31164624,56.376412
1,31166788,56.444521
1,31216969,56.499304
1,31223657,56.690784
1,31255634,56.710636
1,31260468,56.810003
1,31316029,56.886706
1,31318133,56.973334
1,31363409,57.076202
1,31367929,57.15796
1,31639120,57.270826
1,31642815,57.319508
1,32009781,57.472496
1,32054094,57.631378
1,32143138,57.665663
1,32160918,57.759031
1,32440710,57.954776
1,32925647,58.057345
1,32942662,58.120267
1,33062554,58.136086
1,33066299,58.233235
1,33215380,58.296503
1,33221282,58.350887
1,33920586,58.538014
1,33921878,58.608798
1,34021286,58.662503
1,34023779,58.762729
1,34057453,58.842439
1,34061898,58.976962
1,34183007,59.111998
1,34186193,59.211707
1,34220381,59.244157
1,34221810,59.312359
1,34246222,59.331109
1,34247896,59.430155
1,34269930,59.544912
1,34369245,59.63497
1,34375199,59.777465
1,34427062,59.931651
1,34428935,60.044012
1,34535791,60.129272
1,34541223,60.271283
1,34635092,60.379806
1,34655468,60.617239
1,34798634,60.772581
1,34800556,60.904391
1,34939339,61.037483
1,34945039,61.128907
1,35192221,61.431337
1,35270657,61.670732
1,35312631,61.721395
1,35322503,61.853038
1,35363422,61.889754
1,35379119,62.011649
1,35381295,62.096636
1,35633937,62.181772
1,35719581,62.296289
1,36661213,62.443301
1,36677585,62.547691
1,36855957,62.581336
1,36858917,62.715984
1,36927846,62.732283
1,37019837,62.896967
1,37022310,63.022784
1,37040374,63.062743
1,37049344,63.15945
1,37077776,63.195427
1,37084040,63.345682
1,37261085,63.453747
1,37275369,63.529781
1,37317442,63.555017
1,37327304,63.86605
1,37399974,63.970236
1,37416269,64.061965
1,37428012,64.308134
1,37538004,64.413385
1,37548473,64.493199
1,37551870,64.585889
1,37661910,64.736251
1,37782874,64.802795
1,37952976,65.049469
1,38092723,65.065996
1,38143790,65.170957
1,38147166,65.232225
1,38197401,65.247155
1,38199542,65.349943
1,38456106,65.390879
1,38466697,65.452565
1,38469500,65.535771
1,38557098,65.601651
1,38560968,65.774682
1,38602195,65.862109
1,38606443,65.987411
1,38679381,66.032793
1,38730541,66.150017
1,38732247,66.268641
1,38733788,66.305815
1,38871646,66.413003
1,38876635,66.475397
1,38911588,66.498657
1,38915251,66.640454
1,38943545,66.728216
1,38952168,66.872959
1,39039373,66.962775
1,39053684,67.18768
1,39145901,67.300088
1,39147240,67.359537
1,39205993,67.385516
1,39214152,67.452512
1,39266694,67.493283
1,39291144,67.65775
1,39385086,67.684416
1,39388838,67.763362
1,39548843,67.904659
1,39551621,68.049655
1,40089945,68.122995
1,40161013,68.260132
1,40168865,68.37493
1,40197248,68.391135
1,40206510,68.522033
1,40255573,68.533667
1,40291192,68.628485
1,40439598,68.694593
1,40451029,68.915123
1,40763095,69.009885
1,40771973,69.167045
1,40808664,69.177657
1,40827598,69.266231
1,40922377,69.318592
1,40938751,69.433771
1,41248488,69.538673
1,41318440,69.787954
1,41323882,69.931565
1,41416511,70.00855
1,41421510,70.117184
1,41821570,70.235989
1,41854557,70.342936
1,41973908,70.498978
1,41988634,70.628978
1,42270666,70.776732
1,42272924,70.842301
1,42801370,71.010676
1,42884191,71.129784
1,43300921,71.194625
1,43365094,71.26441
1,43367726,71.383991
1,43458388,71.473758
1,43462020,71.548467
1,43529875,71.747165
1,43757955,71.913129
1,43760236,71.996962
1,44486239,72.212019
1,44493795,72.286349
1,44589058,72.411716
1,44855878,72.442797
1,44898998,72.682822
1,44963463,72.745917
1,44971778,72.842194
1,45081766,73.054262
1,45083937,73.09205
1,45161845,73.134403
1,45175925,73.199566
1,46609106,73.372742
1,46897679,73.46743
1,46901546,73.563834
1,47096647,73.744947
1,47210510,73.769628
1,47212009,73.839172
1,47250219,73.933468
1,47258244,74.013102
1,47641041,74.10856
1,47655816,74.309116
1,48001549,74.479639
1,48004776,74.578766
1,48095100,74.758954
1,48102121,74.922134
1,48212615,75.046407
1,48215337,75.13421
1,48249651,75.22338
1,48481656,75.2992
1,48484051,75.394176
1,48520617,75.423914
1,48556937,75.571713
1,48977584,75.660558
1,48978744,75.71905
1,49067379,75.831632
1,49071418,75.921986
1,49085703,75.993748
1,49151886,76.021238
1,49219560,76.299721
1,50591851,76.391455
1,50828470,76.590992
1,52020026,76.751962
1,52064720,76.816238
1,53114410,76.977837
1,53117544,77.08239
1,53125600,77.143118
1,53530023,77.237401
1,53632424,77.393937
1,53636177,77.524202
1,53776386,77.669213
1,53784098,77.832024
1,53835594,77.860836
1,53837269,77.914322
1,53971807,78.015804
1,53979087,78.132203
1,54016511,78.178381
1,54018483,78.260931
1,54036317,78.32865
1,54222571,78.445604
1,54227790,78.543321
1,54368424,78.601598
1,54372124,78.682319
1,54583318,78.76189
1,54663157,78.885427
1,54666981,78.956038
1,54743111,79.035881
1,54745528,79.164634
1,54769756,79.278276
1,54772259,79.365091
1,54955147,79.579119
1,54977034,79.706669
1,55012825,79.782877
1,55015485,79.8576
1,55144100,80.116474
1,55149254,80.226534
1,55281847,80.50396
1,55377852,80.54523
1,55387637,80.632542
1,55441040,80.707318
1,55443605,80.79126
1,55479967,80.884634
1,55481832,80.988511
1,55516004,81.134433
1,55520864,81.219688
1,55723635,81.298466
1,55725288,81.360757
1,56095325,81.689225
1,56412081,81.878345
1,56416738,81.968801
1,56769856,82.080939
1,56800685,82.143576
1,56802112,82.268826
1,56895392,82.37539
1,56900270,82.501947
1,57020516,82.631711
1,57022282,82.744918
1,57177789,82.80985
1,57180867,82.959532
1,57194793,82.9697
1,57202008,83.059502
1,57273172,83.192019
1,57281058,83.4121
1,57304135,83.46617
1,57314696,83.580488
1,57585670,83.817324
1,57588889,83.915336
1,57709358,84.08647
1,57777982,84.106992
1,57780985,84.249359
1,57987455,84.402012
1,57989156,84.45438
1,58162240,84.554659
1,58164124,84.62502
1,58191801,84.641492
1,58198767,84.741953
1,58380712,84.870939
1,58387807,84.988574
1,58488751,85.042753
1,58535140,85.17352
1,58537361,85.27823
1,58684088,85.320665
1,58800475,85.474095
1,58811763,85.57166
1,58864093,85.603315
1,58866940,85.706861
1,58911040,85.77627
1,58915024,85.868156
1,59312341,86.127742
1,59319508,86.258864
1,59345155,86.27627
1,59347093,86.400995
1,59413234,86.427037
1,59417116,86.518216
1,59487128,86.569626
1,59489710,86.71033
1,59570395,86.777661
1,59578785,86.865075
1,59744841,87.060131
1,59888758,87.107755
1,59891290,87.211304
1,59985281,87.265891
1,59986885,87.321085
1,60181335,87.416094
1,60196337,87.480083
1,60201195,87.582012
1,60226496,87.652085
1,60233747,87.825362
1,60433177,87.867659
1,60461564,87.963685
1,60868537,88.101115
1,60873447,88.186491
1,61135133,88.304788
1,61257170,88.409069
1,61260752,88.466755
1,61356520,88.505899
1,61360179,88.593653
1,61394328,88.674242
1,61397168,88.728513
1,61472174,88.882406
1,61664841,89.011421
1,61670344,89.185768
1,61743478,89.238824
1,61757477,89.478577
1,61849262,89.59167
1,61853026,89.657001
1,61913991,89.743113
1,61929717,89.902666
1,62025219,90.049702
1,62027313,90.121744
1,62109502,90.247905
1,62111054,90.325642
1,62139009,90.450608
1,62280985,90.599107
1,62289073,90.73055
1,62364706,90.829883
1,62382479,91.151181
1,62590206,91.278618
1,62773703,91.497011
1,62803814,91.596397
1,62806781,91.704759
1,62824941,91.762105
1,62833553,91.897748
1,62898142,91.968637
1,62901243,92.035214
1,63359560,92.111556
1,63403861,92.274303
1,63453677,92.336474
1,63461822,92.575446
1,63500602,92.629475
1,63502074,92.703958
1,63538594,92.754625
1,63555188,92.888391
1,63628648,92.966345
1,63630864,93.018821
1,63794591,93.122385
1,63801566,93.205987
1,64074080,93.261881
1,64094611,93.327075
1,64107028,93.561837
1,64163569,93.608106
1,64172809,93.726239
1,64256988,93.783246
1,64262703,93.858697
1,64330964,93.9278
1,64341732,94.004954
1,64344782,94.124946
1,64490393,94.207315
1,64534798,94.31451
1,64556590,94.445395
1,64614011,94.513891
1,64620609,94.58838
1,64929221,94.785018
1,64941609,94.899368
1,65001647,94.93674
1,65015252,95.073897
1,65036795,95.100221
1,65041861,95.182887
1,65148161,95.312789
1,65152364,95.466373
1,65187899,95.599198
1,65493869,95.711891
1,65603742,95.857713
1,65608101,95.92519
1,65696189,95.992848
1,65698884,96.143305
1,65888231,96.277516
1,65892888,96.403511
1,66169679,96.508262
1,66171667,96.585265
1,66773349,96.913308
1,66775011,97.021042
1,66937529,97.188715
1,66940780,97.267848
1,67255176,97.45238
1,67258784,97.521782
1,67359195,97.568629
1,67365034,97.724286
1,67504313,97.730212
1,67531723,97.830235
1,67594559,97.85107
1,67597119,97.923276
1,67761365,98.012619
1,67769006,98.137573
1,67935310,98.237188
1,67944069,98.320625
1,67989688,98.36977
1,68093218,98.591279
1,68115186,98.74973
1,68477194,98.979663
1,68513484,99.134578
1,68566576,99.173459
1,68568921,99.246669
1,68632483,99.345851
1,68634641,99.453245
1,68663847,99.475139
1,68665849,99.560452
1,68821539,99.715781
1,68829697,99.796052
1,69164441,99.947288
1,69168941,100.003069
1,69438130,100.040321
1,69449173,100.174127
1,69686319,100.279227
1,69688646,100.374876
1,69789580,100.404586
1,69794383,100.496738
1,69894849,100.522867
1,69937568,100.656131
1,70190096,100.78478
1,70192159,100.8461
1,70242153,100.870551
1,70246119,100.934175
1,70272063,100.947071
1,70279606,101.024574
1,70944520,101.235324
1,70947586,101.299608
1,70988191,101.353975
1,70992015,101.568841
1,71155890,101.726374
1,71371420,101.798939
1,71373738,101.85337
1,72281422,102.149453
1,72287866,102.234185
1,72380581,102.262438
1,72384596,102.340297
1,72508928,102.365778
1,72512391,102.474967
1,73336918,102.741219
1,74131749,102.813819
1,74326154,102.968251
1,74327707,103.066912
1,74462422,103.139867
1,74470568,103.212618
1,74710450,103.233702
1,74712952,103.29859
1,74923051,103.375653
1,75014195,103.472034
1,75015950,103.593355
1,75130289,103.654017
1,75131681,103.753843
1,75167867,103.826378
1,75276832,103.867091
1,75278859,103.949309
1,75670975,104.061441
1,76103670,104.304173
1,76476248,104.373616
1,76478305,104.452475
1,76608018,104.637534
1,76609721,104.719168
1,76726895,104.835384
1,76783783,105.007277
1,76974206,105.178597
1,76977202,105.390189
1,77189064,105.59721
1,77191953,105.673007
1,77263227,105.754825
1,77265640,105.864969
1,77546779,106.006573
1,77548834,106.156218
1,77694640,106.171402
1,77895330,106.3198
1,77912969,106.390359
1,77986638,106.42073
1,77992695,106.500764
1,78719031,106.606223
1,79060244,106.803945
1,79064876,106.910172
1,79111194,106.931719
1,79115905,107.017831
1,79259852,107.070688
1,79263805,107.139463
1,79493936,107.247105
1,79499023,107.359334
1,79658861,107.426484
1,79663267,107.578872
1,80100184,107.675898
1,80101805,107.735424
1,80781601,108.116005
1,80782806,108.199631
1,80876340,108.226905
1,80878750,108.287186
1,81059253,108.396965
1,81063488,108.544617
1,81352554,108.793564
1,81355884,108.918997
1,81488624,109.065067
1,81491983,109.150156
1,81766989,109.362201
1,81769919,109.522401
1,81862445,109.634584
1,81870764,109.72394
1,81989610,109.935306
1,81991684,110.059607
1,82115429,110.209149
1,82121936,110.373052
1,82218699,110.4238
1,82219539,110.472688
1,82562929,110.616616
1,82564441,110.721108
1,82800233,110.798067
1,82836557,110.868927
1,82838613,110.949673
1,82883310,110.976017
1,82885567,111.089964
1,82965451,111.147009
1,82968238,111.216494
1,83128812,111.318757
1,83131659,111.368412
1,83292220,111.469005
1,83296690,111.545533
1,83468139,111.619492
1,83469974,111.716325
1,83829022,111.841214
1,83834902,111.89769
1,84174550,112.256998
1,84729935,112.435083
1,84735327,112.604956
1,84745855,112.622787
1,84751066,112.824621
1,84843465,112.907467
1,84844723,112.978368
1,84926750,113.046162
1,84928736,113.098099
1,85207526,113.225698
1,85210779,113.302365
1,85345418,113.490664
1,85354563,113.581868
1,85391140,113.630369
1,85394148,113.751564
1,85556791,113.843973
1,85610585,113.970266
1,85940249,114.12293
1,85942086,114.263967
1,86010248,114.359477
1,86014249,114.445008
1,86453579,114.593663
1,86455740,114.652379
1,86567206,114.724791
1,86573546,114.779461
1,86714253,114.848734
1,86761095,114.960197
1,86948783,115.031597
1,86950404,115.135876
1,87005402,115.219357
1,87584639,115.322986
1,87587849,115.41071
1,87652415,115.529902
1,87655963,115.678531
1,87696098,115.764248
1,87698441,115.835714
1,87791986,115.934863
1,87806800,116.096585
1,87821431,116.122866
1,87828033,116.293917
1,88033668,116.41154
1,88036573,116.622853
1,88127152,116.735307
1,88129160,116.812977
1,88235817,116.894258
1,88239954,117.040028
1,88273341,117.070341
1,88292547,117.170333
1,88402963,117.230805
1,88410277,117.325432
1,88454706,117.398814
1,88463421,117.56993
1,88603794,117.672337
1,88607616,117.79389
1,88652864,117.853587
1,88656688,117.942516
1,88862772,118.026558
1,89043179,118.184038
1,89444965,118.264727
1,89456659,118.363695
1,89701648,118.427946
1,89748161,118.508183
1,89750120,118.602667
1,89842042,118.697512
1,90065471,118.74295
1,90067353,118.878058
1,90295581,118.985679
1,90321749,119.110111
1,90325475,119.209168
1,90522603,119.424988
1,90538821,119.611494
1,90600240,119.6811
1,90602946,119.915885
1,90657295,119.962174
1,90659140,120.033563
1,91117400,120.223032
1,91119466,120.280067
1,91234126,120.355616
1,91235929,120.440533
1,91518110,120.543539
1,91530305,120.65444
1,91667332,120.798129
1,91670375,120.855804
1,91869489,120.905476
1,91881960,120.974249
1,91887372,121.077488
1,92022597,121.150992
1,92024668,121.205365
1,92208666,121.504218
1,92255996,121.640923
1,93531706,121.970946
1,93539212,122.040224
1,94020247,122.102463
1,94157507,122.235655
1,94178912,122.38123
1,94453236,122.454016
1,94455448,122.589569
1,94501799,122.732767
1,94510673,122.850247
1,94537642,122.898043
1,94539299,122.957745
1,94562084,122.989615
1,94565577,123.053152
1,94607234,123.158032
1,95020873,123.257213
1,95073156,123.333804
1,95077273,123.411123
1,95115904,123.443681
1,95122565,123.553788
1,95198932,123.605321
1,95201044,123.676136
1,95312105,123.736694
1,95317464,123.961736
1,95350506,124.105872
1,96039899,124.460241
1,96043511,124.571529
1,96150318,124.641438
1,96152354,124.775157
1,96700020,125.00131
1,97454434,125.176953
1,97464184,125.334053
1,97606480,125.382891
1,97607837,125.467898
1,97722672,125.529086
1,97727083,125.666939
1,97885200,125.774874
1,97886171,125.824884
1,97949431,125.86752
1,97951525,126.000826
1,98026801,126.063479
1,98033259,126.123678
1,98299475,126.288412
1,98562718,126.318324
1,98725017,126.437279
1,98730925,126.624958
1,98799369,126.652542
1,98803700,126.712965
1,98922915,126.788033
1,98926885,126.906673
1,98962353,126.983346
1,98964075,127.06713
1,99423072,127.237533
1,99425070,127.356954
1,99552858,127.385678
1,99558971,127.447198
1,99800131,127.605654
1,99802789,127.702
1,99956303,127.746189
1,99958776,127.829897
1,100064599,127.90069
1,100066515,127.992336
1,100116642,128.120085
1,100439890,128.262486
1,100763868,128.298681
1,100766320,128.346
1,101195435,128.537176
1,101198708,128.706276
1,101209653,128.716724
1,101213335,128.839362
1,101657847,128.941645
1,101682573,129.005917
1,101683963,129.08817
1,101778236,129.276596
1,101848705,129.312357
1,101850130,129.4269
1,102039804,129.548905
1,102041558,129.678841
1,102176419,129.722697
1,102179536,129.818936
1,102267811,129.884293
1,102270640,130.004416
1,102284779,130.017693
1,102286079,130.087975
1,102296279,130.121442
1,102297957,130.199251
1,102306758,130.224397
1,102309649,130.337619
1,102388188,130.380716
1,102390702,130.523459
1,102421482,130.539085
1,102424197,130.643231
1,102895146,130.830399
1,102899696,130.881795
1,103756973,131.187732
1,103916755,131.542351
1,104368898,131.571213
1,104983592,131.843307
1,104987656,132.006608
1,105191488,132.099944
1,105195135,132.248818
1,105295245,132.288162
1,105300481,132.350381
1,105411481,132.373981
1,105415429,132.473723
1,106080607,132.735343
1,106086980,132.780174
1,106091316,132.905694
1,106642968,133.148418
1,106647108,133.271996
1,106765225,133.368676
1,106773320,133.558334
1,106967338,133.638331
1,106981990,133.703876
1,107432265,133.851014
1,107433883,133.916927
1,107484665,133.934582
1,107489844,134.020992
1,107707315,134.179613
1,107729340,134.310128
1,107874959,134.42525
1,107877785,134.579158
1,107909878,134.592492
1,107918319,134.905011
1,107920219,135.04185
1,107930365,135.064554
1,107933545,135.206344
1,108017292,135.247936
1,108018964,135.313102
1,108070789,135.388913
1,108073844,135.495797
1,108408983,135.719816
1,108411688,135.780399
1,108524590,135.863835
1,108527281,136.058994
1,108754099,136.229421
1,109075191,136.278726
1,109077023,136.357062
1,109212671,136.38083
1,109270563,136.529059
1,109364389,136.552006
1,109367807,136.626781
1,109395585,136.716502
1,109563656,136.762391
1,109697227,136.901356
1,109705022,137.046945
1,109810981,137.145227
1,109840629,137.307888
1,109974450,137.313995
1,109976775,137.374618
1,110215178,137.549946
1,110303505,137.737323
1,110305188,137.828394
1,110332816,137.894511
1,110335948,137.994137
1,110348657,138.118045
1,110433623,138.296066
1,110439636,138.390051
1,110451190,138.395932
1,110458234,138.483241
1,110517396,138.579326
1,110636625,138.596872
1,110671320,138.677689
1,110677088,138.871839
1,110724488,138.897594
1,110733794,138.987308
1,110767348,139.04184
1,110777105,139.20498
1,110998057,139.309618
1,111027035,139.415501
1,111034491,139.630085
1,111116690,139.868891
1,111121822,140.02427
1,111237685,140.193039
1,111545087,140.420707
1,111737916,140.461988
1,111742761,140.630867
1,111798172,140.736354
1,111801402,140.813185
1,111913341,140.953035
1,112025081,140.990622
1,112026676,141.085894
1,112103432,141.207569
1,112106342,141.309923
1,112129736,141.326463
1,112131164,141.395614
1,112346989,141.497168
1,112348592,141.596967
1,112356946,141.609458
1,112357730,141.665919
1,112484962,141.857809
1,112511992,141.960922
1,112563028,141.992663
1,112565005,142.051719
1,112688022,142.160126
1,112690543,142.221356
1,112788187,142.263691
1,112801961,142.35826
1,112857586,142.386716
1,112879265,142.499382
1,112913252,142.528291
